Stock1,Stock2,Correlation
AAPL,CERN,-0.04381570064937407
AAPL,EA,0.0800269926865635
AAPL,FISV,0.05282542327688247
AAPL,JD,0.0894647313099452
AAPL,MCHP,-0.09756955161143997
AAPL,MDLZ,-0.10723765035684044
AAPL,SIRI,0.1404235418783857
AAPL,TMUS,0.0671627581293767
AAPL,VRSN,-0.13487093641430956
ADBE,CERN,0.04442084757797243
ADBE,EA,0.12948152111671987
ADBE,FISV,-0.05418802838034789
ADBE,JD,0.09702307220106347
ADBE,MCHP,0.005382090016026858
ADBE,MDLZ,-0.08036054876685701
ADBE,TMUS,0.16248861866222863
ADBE,VRSN,-0.14581949091522678
ADI,AEP,0.10903396303301796
ADI,CTSH,-0.034988784788064504
ADI,FAST,0.19605127716873197
ADI,HON,0.07339321158497455
ADI,INTC,-0.09860638459460593
ADI,JD,0.06826671273801928
ADI,MAR,-0.1914465787061466
ADI,MDLZ,0.17580153905002152
ADI,MU,-0.1865840072347587
ADI,OKTA,0.17720365525384354
ADI,VRSN,-0.06660285661176948
ADI,WDAY,0.17239275886014238
ADP,AMZN,0.18913527825571982
ADP,CSX,-0.009386574705667712
ADP,EA,-0.07353860868249039
ADP,FISV,0.01734451074391222
ADP,LRCX,-0.17854677225100277
ADP,MCHP,-0.029664905731505233
ADP,MDLZ,0.10611710640861532
ADP,MTCH,-0.05225817294834579
ADP,SIRI,0.19564040931755072
ADSK,AMZN,0.057055451229957956
ADSK,BIIB,0.1919524653165797
ADSK,CSX,0.14517539639491336
ADSK,FISV,0.12664062541350815
ADSK,LRCX,-0.17524346586935197
ADSK,MCHP,-0.08823499656257851
ADSK,MDLZ,0.07480743297726562
ADSK,MTCH,-0.0907345025780152
ADSK,ROST,0.027186862380898
ADSK,SIRI,0.06476724635516563
ADSK,TMUS,0.1681567864912373
ADSK,WDAY,0.14560926259119614
AEP,AMAT,-0.08715403995196995
AEP,AMZN,-0.14579429104609962
AEP,BIIB,-0.19003564442597448
AEP,BKNG,-0.16194614610632935
AEP,DLTR,-0.1661034560056688
AEP,EA,-0.07773727973020235
AEP,JD,-0.09926521180630929
AEP,KDP,-0.1192934322080863
AEP,MCHP,0.11518547862938486
AEP,PTON,-0.19146087893062463
AEP,PYPL,0.0022160602039090777
AEP,ROST,-0.027796495094084796
AEP,TXN,0.059657288094861434
AEP,VRTX,-0.05968201945872531
ALGN,AMZN,0.185146537294155
ALGN,CERN,-0.039006927495047125
ALGN,CSX,-0.14238589273066954
ALGN,EA,0.09129323388727459
ALGN,FISV,0.18949885902101168
ALGN,JD,0.1231234284972513
ALGN,MTCH,0.016615758875435795
ALGN,SIRI,0.06188343287022264
ALGN,TMUS,-0.10674161036140599
ALGN,ZM,0.12046236287904459
AMAT,ATVI,-0.047644526442735695
AMAT,BIDU,0.1059794358744811
AMAT,BKNG,0.10884318184843514
AMAT,CDW,0.07979869948617274
AMAT,CHKP,0.18035544731287156
AMAT,CHTR,0.12607793134944556
AMAT,CMCSA,0.12158224807617678
AMAT,COST,0.14270754216633497
AMAT,CSCO,0.14791213175101456
AMAT,CTSH,-0.156242613983043
AMAT,EXC,0.1199274320172791
AMAT,FAST,0.029785673215010956
AMAT,GILD,-0.12252306160809176
AMAT,HON,0.06661077202644142
AMAT,INCY,0.04759972116582439
AMAT,KDP,-0.15734089637089604
AMAT,KHC,-0.18859436741704447
AMAT,MDLZ,0.15879666461135447
AMAT,MELI,0.15490278558111856
AMAT,MNST,0.11432322399174114
AMAT,NFLX,0.1769064644474936
AMAT,NTES,0.10078509962232478
AMAT,ORLY,0.08846327752912472
AMAT,PDD,-0.040974383684459895
AMAT,PEP,0.17821290681701757
AMAT,REGN,0.10105164485386671
AMAT,TCOM,-0.16265490767902147
AMAT,VRSK,0.03642875674612675
AMAT,VRSN,0.13477432228439856
AMAT,WDAY,0.16299787148565756
AMD,AMZN,0.18190241150595962
AMD,CERN,0.053559762938112224
AMD,CSX,-0.11420297934703008
AMD,EA,0.0076832410610711
AMD,FISV,0.10543669199640607
AMD,JD,0.03881259275649443
AMD,MCHP,0.17416863193801838
AMD,MTCH,0.01075203962470628
AMD,SIRI,0.10995335100005477
AMD,TMUS,-0.016095275772552906
AMGN,AMZN,0.095148340171968
AMGN,BKNG,0.02108986372731858
AMGN,CERN,0.11819631254357231
AMGN,CSX,0.01407127578938761
AMGN,EA,-0.13232826876449066
AMGN,FOXA,0.1528147405333477
AMGN,JD,-0.17222044045621326
AMGN,PTON,-0.10028755915058704
AMGN,SBUX,-0.16848214210818913
AMGN,SIRI,-0.007453732890467143
AMGN,SWKS,-0.14963643697739895
AMGN,XEL,0.15661472748901037
AMGN,ZM,0.08183201904311135
AMZN,ASML,0.19635929029648921
AMZN,ATVI,-0.09142354876682604
AMZN,BIDU,-0.011493180176441683
AMZN,CDW,0.11743028693469627
AMZN,CERN,0.06866531385709593
AMZN,CHTR,0.12815676236991463
AMZN,COST,0.1958062009486799
AMZN,CSCO,0.04839615578961363
AMZN,EXC,-0.013429472997314326
AMZN,FAST,-0.0030966200631380347
AMZN,GILD,0.03877490032520008
AMZN,INCY,-0.05617908341806889
AMZN,INTC,-0.008869473401828136
AMZN,KLAC,-0.04210383760095652
AMZN,LRCX,0.14464303681024673
AMZN,MAR,-0.020452087309929094
AMZN,MDLZ,0.14313349361127248
AMZN,MNST,-0.1648199815049933
AMZN,MRNA,0.1901706136997782
AMZN,MU,-0.1731609555767421
AMZN,NTES,0.057953195529754885
AMZN,NXPI,-0.0751889421846063
AMZN,PDD,-0.1820367852494802
AMZN,SGEN,-0.17525901056374688
AMZN,TEAM,0.15007715971836558
ANSS,BIIB,0.18530174145828326
ANSS,CERN,-0.03810470816719086
ANSS,EA,0.04428830373945366
ANSS,FISV,0.1297814294352796
ANSS,JD,0.1461786790572133
ANSS,LRCX,-0.0986414016067443
ANSS,MCHP,0.06282834509293951
ANSS,MDLZ,-0.19493996823081378
ANSS,SIRI,0.1585766148400014
ANSS,TMUS,-0.04705194478400451
ASML,BKNG,-0.18631022825208843
ASML,CERN,-0.0830476624189304
ASML,CSX,-0.1513114498474291
ASML,JD,0.1497200683097769
ASML,MTCH,-0.004036166963575596
ASML,SIRI,0.11020703536107075
ASML,TMUS,-0.12036276803199289
ASML,ZM,0.054761428735947484
ATVI,BIIB,-0.07979582332406054
ATVI,CSX,0.04077130263374271
ATVI,EA,0.18018811970618073
ATVI,JD,0.0064016406816428395
ATVI,MCHP,-0.04043264432005409
ATVI,MTCH,0.0585717900125098
ATVI,PTON,-0.0762259140191328
ATVI,SIRI,0.16121657815768384
ATVI,TXN,-0.16807003651128702
ATVI,XEL,0.1119982079163639
ATVI,ZM,0.03631867962711399
AVGO,BKNG,-0.17546504372245847
AVGO,CERN,0.15122435477743634
AVGO,FISV,-0.059540075684546744
AVGO,LRCX,0.12166096879796569
AVGO,MDLZ,-0.004254589175055244
AVGO,TMUS,0.19194208893771292
AVGO,VRSN,-0.16412395339762606
BIDU,CERN,-0.028620488411574108
BIDU,CSX,-0.12668672398668532
BIDU,EA,0.062408980260046834
BIDU,MCHP,0.04544947346176698
BIDU,MDLZ,0.035747746957238424
BIDU,PTON,-0.09073317920189918
BIDU,SIRI,0.10582465221363913
BIDU,TMUS,0.09381801604161606
BIDU,TXN,-0.12257517875185289
BIDU,XEL,0.015215539561228052
BIDU,ZM,0.014053172245459777
BIIB,CDW,0.16044688881850802
BIIB,CHTR,0.19682635906229431
BIIB,COST,0.1886264759177382
BIIB,CTSH,-0.197840025445009
BIIB,FAST,-0.03930899161594921
BIIB,FOXA,-0.04819069980728136
BIIB,INCY,0.03143633041748945
BIIB,INTC,-0.01352468371145483
BIIB,JD,-0.1004202035134725
BIIB,KLAC,0.19241900830079817
BIIB,LRCX,0.15134085314108878
BIIB,MAR,-0.12472833343034911
BIIB,MCHP,0.04604391438446702
BIIB,MDLZ,0.18641696295701277
BIIB,MNST,0.0019447762645266066
BIIB,MTCH,0.18882792120581843
BIIB,NFLX,0.12634738242555213
BIIB,NTES,-0.14787573268511806
BIIB,OKTA,0.0492929612913864
BIIB,ORLY,0.10660220138753643
BIIB,PEP,0.1920699989801664
BIIB,SBUX,0.04178312741103493
BIIB,TSLA,0.155914899478419
BIIB,VRSK,0.03537209141050689
BIIB,VRSN,0.06192941374045348
BIIB,WDAY,0.06903417521407042
BKNG,CMCSA,-0.18753571975952854
BKNG,CSCO,-0.1228361167837298
BKNG,CSX,0.17443690678553994
BKNG,DLTR,0.14727730598464903
BKNG,EXC,-0.09130057105186769
BKNG,HON,-0.10746342045372642
BKNG,KLAC,9.729266687129158e-05
BKNG,MNST,0.052657463039570446
BKNG,MTCH,-0.13196420145267768
BKNG,NFLX,-0.09278574384138284
BKNG,NXPI,0.01872263125049154
BKNG,OKTA,0.005493775086357453
BKNG,ROST,0.012670793395815895
BKNG,SGEN,-0.137330872596793
BKNG,SIRI,-0.10149521309784999
BKNG,TSLA,-0.1867762265548983
BKNG,TXN,-0.11675997801935903
BKNG,VRSN,0.03504972681977745
CDNS,CERN,-0.17583212583945482
CDNS,CSX,-0.1685432376026188
CDNS,EA,0.1284419820459273
CDNS,JD,0.17608645744321277
CDNS,MCHP,0.19920130361614005
CDNS,MTCH,0.06553355722062074
CDNS,SIRI,0.043051894003468136
CDNS,TMUS,-0.1438024526671624
CDNS,ZM,0.06013349178612536
CDW,CSX,0.05234210743423095
CDW,EA,-0.0019838800209256175
CDW,JD,0.06817626284525737
CDW,MTCH,-0.13525820090548782
CDW,PTON,0.08912343195959765
CDW,SIRI,-0.1124920451400337
CDW,XEL,-0.13006560098906678
CDW,ZM,-0.0518263457399919
CERN,CHKP,0.019931211949802807
CERN,CHTR,-0.137900715265033
CERN,CMCSA,-0.15081929144615
CERN,COST,-0.10760937587261576
CERN,CPRT,0.07280045903291395
CERN,CRWD,0.09849550795894109
CERN,CSCO,-0.1565835164086263
CERN,CSX,-0.11089094602704838
CERN,CTAS,0.002729177289508162
CERN,DLTR,-0.1268383115465275
CERN,DXCM,0.022791401017704906
CERN,EA,0.01753380126672153
CERN,EBAY,0.026237114296940804
CERN,EXC,-0.10997421899634019
CERN,FAST,-0.08913889993737605
CERN,FB,0.006485904733401365
CERN,FOX,-0.12519353579468281
CERN,FOXA,-0.08599484826468397
CERN,GILD,-0.10126001676917276
CERN,GOOG,-0.015683944334412978
CERN,GOOGL,-0.05200470673004302
CERN,HON,0.03807057582350383
CERN,IDXX,0.17719635099063494
CERN,INCY,0.17199553526362985
CERN,INTC,0.13556974309391687
CERN,INTU,0.10874948237158787
CERN,ISRG,-0.0521998508131643
CERN,KHC,0.08844800558749415
CERN,KLAC,0.03181586840802053
CERN,LULU,0.0859980485697608
CERN,MAR,0.17400945998066533
CERN,MCHP,-0.11710748636839542
CERN,MNST,-0.16334944627391448
CERN,MRNA,-0.011571168909797256
CERN,MRVL,0.17262576375477773
CERN,MSFT,-0.008822208294775159
CERN,MTCH,0.059039371033044546
CERN,MU,0.07598276806482292
CERN,NTES,0.07416797856853556
CERN,NVDA,0.06581591201781065
